# ------------------------------------------------------
# Common
# ------------------------------------------------------
Common_WareName;Ware name
EditEquipmentWindow_Label_EquipmentSize_Content;Equipment size
EditEquipmentWindow_Label_Preset_Content;Preset
EditEquipmentWindow_Button_DeletePreset_ToolTip;Delete Loadout
EditEquipmentWindow_Button_AddPreset_ToolTip;Save as New
EditEquipmentWindow_Button_RenamePreset_ToolTip;Rename Loadout
EditEquipmentWindow_Button_OverwritePreset_ToolTip;Overwrite Loadout
EditEquipmentWindow_TextBlock_List_Text;List : 
EditEquipmentWindow_TextBlock_Equipped_Text;Equipped = [{0}/{1}]
EditEquipmentWindow_Button_Add_ToolTip;You can add a selection at once by clicking while holding down the left Shift key.
EditEquipmentWindow_Button_Save_Content;Save
EditEquipmentWindow_CloseConfirmMessage;Do you want to save your changes?
SaveNewPreset_Title;Save new preset
SaveNewPreset_Description;Please enter a preset name
RenamePreset_Title;Rename preset name
RenamePreset_Description;Please enter a new preset name
DeletePresetConfirmMessage;Do you really want to remove the preset "{0}"?
InvalidPresetNameMessage;Invalid preset name. Please enter at least one non-whitespace character.


# ------------------------------------------------------
# DataGridColumnsFilter
# ------------------------------------------------------
DataGridColumnsFilter_Conditions;Conditions
ListFilter_GroupBoxHeader;Select from list
NumericalFilter_GroupBoxTitle;Search by number
NumericalFilter_EnterAValue;Enter a value
NumericalFilter_EnterAMinValue;Enter a min value
NumericalFilter_EnterAMaxValue;Enter a max value
NumericalFilter_Equalls;＝ Equals
NumericalFilter_NotEquals;≠ Not equals
NumericalFilter_GreaterThan;＞ Greater than
NumericalFilter_GreaterThanOrEqualTo;≧ Greater than or equal to
NumericalFilter_LessThan;＜ Less than
NumericalFilter_LessThanOrEqualTo;≦ Less than or equal to
NumericalFilter_Between;～ Between
TextFilter_GroupBoxTitle;Search by text
TextFilter_Contains;Contains
TextFilter_NotContains;Not contains
TextFilter_Equals;Equals
TextFilter_NotEqulas;Not equals
TextFilter_StartWith;Start with
TextFilter_EndWith;End with


# ------------------------------------------------------
# DB Viewer
# ------------------------------------------------------
DBViewer;DB Viewer
# ■Races
DBViewer_Races_Title;Races
DBViewer_Races_RaceID;Race ID
DBViewer_Races_RaceName;Race name
DBViewer_Races_ShortName;Short name
# ■Wares
DBViewer_Wares_Title;Wares
DBViewer_Wares_WareName;Name
DBViewer_Wares_WareGroupName;Type
DBViewer_Wares_TransportTypeName;Transport
DBViewer_Wares_MinPrice;Min price
DBViewer_Wares_MaxPrice;Max price
DBViewer_Wares_Profit;Profit
DBViewer_Wares_Volume;Volume
DBViewer_Wares_ProfitPerVolume;Profit / Volume
# ■Modules
DBViewer_Modules_Title;Modules
DBViewer_Modules_ModuleName;Name
DBViewer_Modules_ModuleType;Type
DBViewer_Modules_OwnerRace;Owner race
DBViewer_Modules_MaxWorkers;Workers
DBViewer_Modules_WorkersCapacity;Capacity
DBViewer_Modules_Product;Product
DBViewer_Modules_MaxEfficiency;Max efficiency
# ■Ships
DBViewer_Ships_Title;Ships
DBViewer_Ships_BasicInfo;Basic info
DBViewer_Ships_BasicInfo_Name;Name
DBViewer_Ships_BasicInfo_Type;Type
DBViewer_Ships_BasicInfo_Size;Size
DBViewer_Ships_BasicInfo_Mass;Mass
DBViewer_Ships_BasicInfo_People;People
DBViewer_Ships_Speed;Speed
DBViewer_Ships_MaxForwardSpeed;Forward
DBViewer_Ships_MaxReverseSpeed;Reverse
DBViewer_Ships_MaxBoostSpeed;Boost
DBViewer_Ships_MaxTravelSpeed;Travel
DBViewer_Ships_MaxAcceleration;Acc
DBViewer_Ships_ParallelMoveSpeed;Parallel move speed
DBViewer_Ships_VerticalMovementSpeed;Vertical
DBViewer_Ships_HorizontalMovementSpeed;Horizontal
DBViewer_Ships_Steering;Steering
DBViewer_Ships_Steering_Pitch;Pitch
DBViewer_Ships_Steering_Yaw;Yaw
DBViewer_Ships_Steering_Roll;Roll
DBViewer_Ships_Steering_Responsiveness;Responsiveness
DBViewer_Ships_Armed;Armed(Quantity)
DBViewer_Ships_Armed_Weapons;Weapons
DBViewer_Ships_Armed_Turrets;Turrets
DBViewer_Ships_Armed_Missiles;Missiles
DBViewer_Ships_Shield;Shield
DBViewer_Ships_Shield_Count;Count
DBViewer_Ships_Shield_Capacity;Capacity
DBViewer_Ships_Cargo;Cargo
DBViewer_Ships_Cargo_Capacity;Capacity
DBViewer_Ships_Cargo_Type;Type
DBViewer_Ships_Dock;Dock
DBViewer_Ships_Dock_Medium;M
DBViewer_Ships_Dock_Small;S
DBViewer_Ships_HangerCapacity;Hanger
DBViewer_Ships_HangerCapacity_Aircraft;Aircraft
DBViewer_Ships_HangerCapacity_Drone;Drone


# ------------------------------------------------------
# Data Exporter
# ------------------------------------------------------
DataExporter_Title;X4: Foundations data exporter
DataExporter_Input;Input
DataExporter_Input_RootDirectory;X4: Foundations Install directory
DataExporter_Output;Output
DataExporter_Output_Language;Language
DataExporter_Export;Export
DataExporter_Close;Close
DataExporter_ExportCompleted;Data export completed.
DataExporter_FailedToResolveModDependencyMessage;Failed to resolve Mod dependencies.\r\nIt is possible that the Mod required by a Mod is not installed or has been disabled.\r\n.Please execute again with X4 running properly.
DataExporter_FailedToBackupDb;Backup of DB file failed.\r\nPlease make sure that no other process is opening the x4.db file and run it again.
DataExporter_FailedToExportMessage;Sorry, Data export failed.\r\nPlease report the following content to the developer.\r\n\r\n1. Selected language.\r\n2. Crash report file.\r\n3. Version of X4.
DataExporter_ExportOption;Export option
DataExporter_ExportAllData;Export Vanilla / DLC / Mod data
DataExporter_ExportOfficialData;Export Vanilla / DLC data
DataExporter_ExportVanillaData;Export Vanilla data
