# ------------------------------------------------------
# Common
# ------------------------------------------------------
WareName;ウェア名
DBUpdateRestartRequestMessage;DBの更新を適用するためには本アプリケーションの再起動を行ってください。
DBUpdateFailureMessage;DBの更新に失敗しました。\r\nDBファイルにアクセス可能か確認後、再度実行してください。

# Layout(L) --------------------------------------------
Layout;レイアウト(_L)
SaveLayout;レイアウト保存
LayoutList;レイアウト一覧
EditLayoutName;レイアウト名編集
LayoutName;レイアウト名
LayoutSavedMessage;計画「{0}」のレイアウトを「{1}」として保存しました。
LayoutSaveFailedMessage;レイアウトの保存に失敗しました。\r\n\r\n■理由：\r\n{0}
LayoutOverwritedMessage;計画「{0}」のレイアウトを「{1}」として上書き保存しました。
LayoutOverwriteFailedMessage;レイアウトの上書き保存に失敗しました。\r\n\r\n■理由：\r\n{0}
TabDoesNotSelectedMessage;レイアウト保存対象のタブが選択されていません。\r\n保存対象のタブを選択後、再度実行して下さい。
DeleteLayoutConfirmMessage;レイアウト「{0}」を本当に削除しますか？
InvalidLayoutNameMessage;レイアウト名が無効です。\r\n空白文字以外の文字を1文字以上入力して下さい。

# Language ---------------------------------------------
Language;言語


# ------------------------------------------------------
# Station Calclator import/export dialog
# ------------------------------------------------------
StationCalclatorExportTitle;Station Calclatorへエクスポート
StationCalclatorExportDescription;URLをコピーして下さい\r\n注) 以下のモジュールは除外しています。\r\n・接続モジュール\r\n・探検モジュール
StationCalclatorImportTitle;Station Calclatorからインポート
StationCalclatorImportDescription;Station Calclator上部のShareボタンをクリックした時に\r\n表示されるURLを入力してください


# ------------------------------------------------------
# Select plan dialog
# ------------------------------------------------------
SelectPlanWindowTitle;計画を選択
X4PlanFilePathDescription;X4 建造計画ファイルパス
ImportPlanDescription;インポートする計画を選択


# ------------------------------------------------------
# Import loadouts
# ------------------------------------------------------
LoadoutImportTitle;モジュールの装備
LoadoutImportWindowTitle;モジュールの装備をインポート
LoadoutFilePathDescription;X4 装備ファイルパス
PresetListDescription;インポートするプリセットを選択
PresetImportSucceededMessage;プリセットのインポートに成功しました。\r\nインポート件数 = {0}
PresetImportFailedMessage;プリセットのインポートに失敗しました。\r\n成功：{0}\r\n失敗：{1}
NoPresetSelectedMessage;プリセットが選択されていません。\r\nプリセットを選択した後、再度実行してください。
ImportButton;インポート
Remarks;備考
PresetImported;インポート済み


# ------------------------------------------------------
# Plan
# ------------------------------------------------------
View;表示(_V)
ModuleList;モジュール
Products;製品
Summary;概要
BuildResources;建造
Storages;保管庫
StorageAssign;保管庫割当


# ------------------------------------------------------
# Modules
# ------------------------------------------------------
Copy;コピー
Paste;ペースト
Delete;削除
Add;追加
AutoAdd;自動追加
Merge;マージ
ModuleEquipment;装備
Edit;編集
BuildMethod;建造方式
MergeModulesConfirmMessage;重複するモジュールをマージしますか？
NoMergeModulesMessage;重複したモジュールはありませんでした。
MergeModulesMessage;{0}モジュール、{1}レコードをマージしました。
AutoAddConfirm;不足している製品を生産するモジュールを追加しますか？
NoAddedModulesAutomaticallyMessage;不足している製品が無いためモジュールは追加されませんでした。
AddedModulesAutomaticallyMessage;{0}レコード、{1}モジュール追加されました。
NotEquippedToolTipText;何も装備していません


# ------------------------------------------------------
# Products
# ------------------------------------------------------
Expansion;展開
Collapse;折りたたむ
Efficiency;生産性
Production;生産量
ProductName;製品名
AmountPerHour;個数/h
NoBuy;購入しない
NoSell;販売しない

# ------------------------------------------------------
# Resources
# ------------------------------------------------------
NeedWare;建造に必要なウェア
NeedWareAmount;個数


# ------------------------------------------------------
# Storage
# ------------------------------------------------------
Capacity;容量
TotalCapacity;容量(合計)
StorageType;保管庫種別


# ------------------------------------------------------
# Storage assign
# ------------------------------------------------------
StorageConditionAfterHour;{0}時間後の保管庫状態
MaximumSliderValue;スライダー最大値
Allocated;割当個数
Allocable;割当可能個数
NumberAfterTheSpecifiedTime;指定時間後の数量
StorageAssignGroupHeader;{0} = {1:N0}/{2:N0}


# ------------------------------------------------------
# Summary
# ------------------------------------------------------
WorkForce;労働力 = [{0:N0}/{1:N0}]
NecessaryWareInfo;必要ウェア情報
ModuleInfo;モジュール情報
ProfitPerHour;1時間あたりの損益 = {0:N0} cr
BuildCost;建造コスト = {0:N0} cr
Workers;労働者数
TotalWorkers;総労働者数
NecessaryAmount;必要数
Diff;差
Quantity;数量


# ------------------------------------------------------
# Settings
# ------------------------------------------------------
Settings;設定
Headquarters;本部
Sunlight;日光 =

# ------------------------------------------------------
# Select module window
# ------------------------------------------------------
SelectModuleWindowTitle;モジュール選択画面
ModuleNameBeforeChange;変更前モジュール名：
ModuleType;モジュール種別


# ------------------------------------------------------
# Edit equipment window
# ------------------------------------------------------
EditEquipmentWindowTitle;兵装編集画面
EquipmentSize;装備サイズ
Preset;プリセット
List;一覧
Equiped;装備中 = [{0}/{1}]
EquipmentAddButtonToolTip;左Shiftキーを押しながらクリックで選択項目を一気に追加できます
EditEquipmentWindowCloseConfirmMessage;変更内容を保存しますか？
EditPresetName;プリセット名編集
PresetName;プリセット名
DeletePresetConfirmMessage;プリセット「{0}」を本当に削除しますか？
InvalidPresetNameMessage;プリセット名が無効です。\r\n空白文字以外の文字を1文字以上入力して下さい。
