# ------------------------------------------------------
# Common
# ------------------------------------------------------
Common_WareName;ウェア名
MainWindow_PlanClosingConfirmMessage;計画「{0}」の変更内容を保存しますか？
MainWindow_PlanClosingConfirmMessage_Save;保存して閉じる
MainWindow_PlanClosingConfirmMessage_DontSave;保存せずに閉じる
MainWindow_PlanClosingConfirmMessage_DontSave_Description;未保存の変更内容は破棄されます。
MainWindow_PlanClosingConfirmMessage_Cancel;キャンセル
MainWindow_PlanClosingConfirmMessage_Cancel_Description;閉じずに計算機に戻ります。
MainWindow_SaveDataWriteFailureMessage;保存に失敗しました。\r\n■理由：\r\n{0}\r\n\r\n■スタックトレース：\r\n{1}
MainWindow_ImportFailureMessage;インポートに失敗しました。\r\n■理由：\r\n{0}
MainWindow_UnexpectedErrorMessage;予期しないエラーが発生しました。\r\n■エラー内容：\r\n{0}\r\n\r\n■スタックトレース：\r\n{1}
MainWindow_LoadingFile;ファイルを読込中

# ------------------------------------------------------
# Main window menu
# ------------------------------------------------------

# File(F) ----------------------------------------------
MainWindow_Menu_File_Header;ファイル(_F)
MainWindow_Menu_File_MenuItem_New_Header;新規作成
MainWindow_Menu_File_MenuItem_OverwriteSave_Header;上書き保存
MainWindow_Menu_File_MenuItem_SaveAs_Header;名前を付けて保存
MainWindow_Menu_File_MenuItem_Open_Header;開く
MainWindow_Menu_File_MenuItem_Import_Header;インポート
MainWindow_Menu_File_MenuItem_Import_MenuItem_ExistingPlan_Header;既存の計画
MainWindow_Menu_File_MenuItem_Import_MenuItem_StationCalculator_Header;Station Calculator
MainWindow_Menu_File_MenuItem_Import_MenuItem_Loadout_Header;モジュールの装備
MainWindow_Menu_File_MenuItem_Export_Header;エクスポート
MainWindow_Menu_File_MenuItem_Export_MenuItem_StationCalculator_Header;Station Calculator
MainWindow_Menu_File_UpdateDB_Header;DB更新
MainWindow_Menu_File_UpdateDB_DBUpdate_RestartRequestMessage;DBの更新を適用するためには本アプリケーションの再起動を行ってください。
MainWindow_Menu_File_UpdateDB_DBUpdate_FailureMessage;DBの更新に失敗しました。\r\nDBファイルにアクセス可能か確認後、再度実行してください。

# View(W) ----------------------------------------------
MainWindow_Menu_View_Header;表示(_V)

# Empire overview --------------------------------------
MainWindow_Menu_EmpireOverview_Header;帝国の概要
EmpireOverview_Title;帝国の概要
EmpireOverview_Surplus;余剰
EmpireOverview_Shortage;不足
EmpireOverview_Total;合計
EmpireOverview_ProductList;製品一覧
EmpireOverview_AggregationTarget;集計対象

# Layout(L) --------------------------------------------
MainWindow_Menu_Layout_Header;レイアウト(_L)
MainWindow_Menu_Layout_MenuItem_SaveLayout_Header;レイアウト保存
MainWindow_Menu_Layout_MenuItem_SaveLayout_Title;レイアウト保存
MainWindow_Menu_Layout_MenuItem_SaveLayout_Description;保存するレイアウトの名称を入力して下さい
MainWindow_Menu_Layout_MenuItem_SaveLayout_SucceededMessage;計画「{0}」のレイアウトを「{1}」として保存しました。
MainWindow_Menu_Layout_MenuItem_SaveLayout_TabDoesNotSelectedMessage;レイアウト保存対象のタブが選択されていません。\r\n保存対象のタブを選択後、再度実行して下さい。
MainWindow_Menu_Layout_MenuItem_SaveLayout_FailedMessage;レイアウトの保存に失敗しました。\r\n\r\n■理由：\r\n{0}
MainWindow_Menu_Layout_MenuItem_LayoutList_Header;レイアウト一覧
MainWindow_Menu_Layout_MenuItem_LayoutList_Overwrite_Button_ToolTip;レイアウトを上書き
MainWindow_Menu_Layout_MenuItem_LayoutList_Overwrite_SuccessMessage;計画「{0}」のレイアウトを「{1}」として上書き保存しました。
MainWindow_Menu_Layout_MenuItem_LayoutList_Overwrite_FailedMessage;レイアウトの上書き保存に失敗しました。\r\n\r\n■理由：\r\n{0}
MainWindow_Menu_Layout_MenuItem_LayoutList_Rename_Button_ToolTip;名前を変更
MainWindow_Menu_Layout_MenuItem_LayoutList_Rename_Title;レイアウト名編集
MainWindow_Menu_Layout_MenuItem_LayoutList_Rename_Description;新しいレイアウト名を入力して下さい
MainWindow_Menu_Layout_MenuItem_LayoutList_DeleteLayoutButton_ToolTip;削除
MainWindow_Menu_Layout_MenuItem_LayoutList_DeleteLayoutButton_ConfirmMessage;レイアウト「{0}」を本当に削除しますか？
MainWindow_Menu_Layout_InvalidLayoutNameMessage;レイアウト名が無効です。\r\n空白文字以外の文字を1文字以上入力して下さい。

# Language ---------------------------------------------
MainWindow_Menu_Language_Title;言語

# Help(H) ---------------------------------------------
MainWindow_Menu_Help_Title;ヘルプ(_H)
MainWindow_Menu_Help_ReportIssue;問題を報告
MainWindow_Menu_Help_CheckUpdateAtLaunch;起動時に更新を確認する
MainWindow_Menu_Help_CheckUpdate_Title;更新を確認...
MainWindow_Menu_Help_VersionInfo_Title;バージョン情報
MainWindow_Menu_Help_VersionInfo_MessageTitle;X4_ComplexCalculator
MainWindow_Menu_Help_VersionInfo_MessageDescription;X4_ComplexCalculator\r\n\r\nバージョン: {0}\r\nコミット: {1}\r\n日付: {2}\r\n.NET : {3}


# Check update -----------------------------------------
CheckUpdate_Title;更新を確認...
CheckUpdate_NoUpdateDescription;X4_ComplexCalculator v{0} は最新です。
CheckUpdate_HasUpdateDescription;X4_ComplexCalculator v{0} は v{1} へ更新できます。\r\n更新しますか？
CheckUpdate_FailedDescription;更新の確認に失敗しました。\r\n時間をおいて再試行して下さい。
CheckUpdate_StartDownloadDescription;更新ファイルのダウンロード中です。\r\nアプリケーションの終了後に更新が適用されます。
CheckUpdate_FinishedDownloadDescription;更新ファイルのダウンロードが完了しました。アプリケーションの終了後に更新が適用されます。
CheckUpdate_NowDownloading;ダウンロード中...


# ------------------------------------------------------
# Station Calculator import/export dialog
# ------------------------------------------------------
StationCalculatorExport_Title;Station Calculatorへエクスポート
StationCalculatorExport_Description;URLをコピーして下さい\r\n注) 以下のモジュールは除外しています。\r\n・探検モジュール\r\n・パラニド 派閥首都\r\n・凝縮物質格納施設
StationCalculatorImport_Title;Station Calculatorからインポート
StationCalculatorImport_Description;Station Calculator上部のShareボタンをクリックした時に\r\n表示されるURLを入力してください


# ------------------------------------------------------
# Select plan dialog
# ------------------------------------------------------
SelectPlan_Title;計画を選択
SelectPlan_X4PlanFilePathDescription;X4 建造計画ファイルパス
SelectPlan_ImportPlanDescription;インポートする計画を選択


# ------------------------------------------------------
# Import loadouts
# ------------------------------------------------------
ImportLoadout_Title;モジュールの装備をインポート
ImportLoadout_LoadoutFilePathDescription;X4 装備ファイルパス
ImportLoadout_PresetListDescription;インポートするプリセットを選択
ImportLoadout_ImportSucceededMessage;プリセットのインポートに成功しました。\r\nインポート件数 = {0}
ImportLoadout_ImportFailedMessage;プリセットのインポートに失敗しました。\r\n成功：{0}\r\n失敗：{1}
ImportLoadout_NoPresetSelectedMessage;プリセットが選択されていません。\r\nプリセットを選択した後、再度実行してください。
ImportLoadout_Button_Import_Content;インポート
ImportLoadout_Remarks;備考
ImportLoadout_Imported;インポート済み


# ------------------------------------------------------
# Plan
# ------------------------------------------------------
PlanArea_Tab;タブ
PlanArea_ModuleList;モジュール
PlanArea_Products;製品
PlanArea_Summary;概要
PlanArea_BuildResources;建造
PlanArea_Storages;保管庫
PlanArea_StorageAssign;保管庫割当
PlanArea_Settings;設定


# ------------------------------------------------------
# Modules
# ------------------------------------------------------
Modules_ContextMenu_MenuItem_Copy_Header;コピー
Modules_ContextMenu_MenuItem_Paste_Header;ペースト
Modules_ContextMenu_MenuItem_Delete_Header;削除
Modules_ContextMenu_MenuItem_ClearSelection_Header;選択解除
Modules_ContextMenu_MenuItem_MoveUpTheSelection_Header;選択項目を上に移動
Modules_ContextMenu_MenuItem_MoveDownTheSelection_Header;選択項目を下に移動
Modules_ContextMenu_MenuItem_ResetSortOrder_Header;ソート順を初期化
Modules_Button_Add_Content;追加
Modules_Button_AutoAdd_Content;自動追加
Modules_Button_AutoAdd_ConfirmMessage;不足している製品を生産するモジュールを追加しますか？
Modules_Button_AutoAdd_AddedModulesMessage;{0}レコード、{1}モジュール追加されました。
Modules_Button_AutoAdd_NoAddedModulesMessage;不足している製品が無いためモジュールは追加されませんでした。
Modules_Button_Merge_Content;マージ
Modules_Button_Merge_ConfirmMessage;重複するモジュールをマージしますか？
Modules_Button_Merge_MergeModulesMessage;{0}モジュール、{1}レコードをマージしました。
Modules_Button_Merge_NoMergeModulesMessage;重複したモジュールはありませんでした。
Modules_Column_Equipment_Header;装備
Modules_Column_Equipment_Edit_Text;編集
Modules_Column_BuildMethod_Header;建造方式


# ------------------------------------------------------
# Products
# ------------------------------------------------------
Products_Efficiency;生産性
Products_AmountPerHour;個数/h


# ------------------------------------------------------
# Build
# ------------------------------------------------------
BuildResources_NeedWare;建造に必要なウェア
BuildResources_NeedWareAmount;個数


# ------------------------------------------------------
# Storage
# ------------------------------------------------------
Storage_Capacity;容量
Storage_TotalCapacity;容量(合計)
Storage_StorageType;保管庫種別


# ------------------------------------------------------
# Storage assign
# ------------------------------------------------------
StorageAssign_StorageConditionAfterHour;{0}時間後の保管庫状態
StorageAssign_MaximumSliderValue;スライダー最大値
StorageAssign_Allocated;割当個数
StorageAssign_Allocable;割当可能個数
StorageAssign_NumberAfterTheSpecifiedTime;指定時間後の数量
StorageAssign_StorageAssignGroupHeader;{0} = {1:N0}/{2:N0}


# ------------------------------------------------------
# Summary
# ------------------------------------------------------
Summary_Workforce;労働力 = [{0:N0}/{1:N0}]
Summary_NecessaryWareInfo;必要ウェア情報
Summary_ModuleInfo;モジュール情報
Summary_ProfitPerHour;1時間あたりの損益 = {0:N0} cr
Summary_BuildCost;建造コスト = {0:N0} cr
Summary_Workers;労働者数
Summary_TotalWorkers;総労働者数
Summary_NecessaryAmount;必要数
Summary_Diff;差
Summary_Quantity;数量


# ------------------------------------------------------
# Settings
# ------------------------------------------------------
Settings_GroupBox_Station_Header;ステーション
Settings_CheckBox_Headquarters_Content;本部
Settings_TextBlock_ActualWorkforce_Text;現在の労働者数 = 
Settings_CheckBox_AlwaysMaximun_Content;常に最大
Settings_GroupBox_Sector_Header;セクター
Settings_TextBlock_Sunlight_Text;日光 =


# ------------------------------------------------------
# Select module window
# ------------------------------------------------------
SelectModuleWindow_Title;モジュール選択画面
SelectModuleWindow_ModuleNameBeforeChange;変更前モジュール名：
SelectModuleWindow_ModuleType;モジュール種別


# ------------------------------------------------------
# Edit equipment window
# ------------------------------------------------------
EditEquipmentWindow_Title;兵装編集画面
EditEquipmentWindow_Label_EquipmentSize_Content;装備サイズ
EditEquipmentWindow_Label_Preset_Content;プリセット
EditEquipmentWindow_Button_DeletePreset_ToolTip;削除
EditEquipmentWindow_Button_AddPreset_ToolTip;新規セーブ
EditEquipmentWindow_Button_RenamePreset_ToolTip;名前を変更
EditEquipmentWindow_Button_OverwritePreset_ToolTip;兵装を上書き
EditEquipmentWindow_TextBlock_List_Text;一覧 : 
EditEquipmentWindow_TextBlock_Equipped_Text;装備中 = [{0}/{1}]
EditEquipmentWindow_Button_Add_ToolTip;左Shiftキーを押しながらクリックで選択項目を一気に追加できます
EditEquipmentWindow_Button_Save_Content;保存して終了
EditEquipmentWindow_CloseConfirmMessage;変更内容を保存しますか？
EditEquipmentWindow_CloseConfirmMessage_Save;保存して終了
EditEquipmentWindow_CloseConfirmMessage_DontSave;保存せずに終了
EditEquipmentWindow_CloseConfirmMessage_DontSave_Description;未保存の内容は破棄されます。
EditEquipmentWindow_CloseConfirmMessage_Cancel;キャンセル
EditEquipmentWindow_CloseConfirmMessage_Cancel_Description;終了せずに兵装編集画面に戻ります。
SaveNewPreset_Title;新規プリセット保存
SaveNewPreset_Description;プリセット名を入力して下さい
RenamePreset_Title;プリセット名編集
RenamePreset_Description;新しいプリセット名を入力して下さい
DeletePresetConfirmMessage;プリセット「{0}」を本当に削除しますか？
InvalidPresetNameMessage;プリセット名が無効です。\r\n空白文字以外の文字を1文字以上入力して下さい。


# ------------------------------------------------------
# DataGridColumnsFilter
# ------------------------------------------------------
DataGridColumnsFilter_Conditions;一致条件
ListFilter_GroupBoxHeader;リストから選択
NumericalFilter_GroupBoxTitle;数値で検索
NumericalFilter_EnterAValue;値を入力
NumericalFilter_EnterAMinValue;最小値を入力
NumericalFilter_EnterAMaxValue;最大値を入力
NumericalFilter_Equalls;＝ 指定の値に等しい
NumericalFilter_NotEquals;≠ 指定の値に等しくない
NumericalFilter_GreaterThan;＞ 指定の値を超える
NumericalFilter_GreaterThanOrEqualTo;≧ 指定の値以上
NumericalFilter_LessThan;＜ 指定の値未満
NumericalFilter_LessThanOrEqualTo;≦ 指定の値以下
NumericalFilter_Between;～ 指定の範囲内
TextFilter_GroupBoxTitle;文字列で検索
TextFilter_Contains;指定の値を含む
TextFilter_NotContains;指定の値を含まない
TextFilter_Equals;指定の値と一致
TextFilter_NotEqulas;指定の値と一致しない
TextFilter_StartWith;指定の値で始まる
TextFilter_EndWith;指定の値で終わる


# ------------------------------------------------------
# DB Viewer
# ------------------------------------------------------
DBViewer;DBビュワー
# ■Races
DBViewer_Races_Title;種族
DBViewer_Races_RaceID;種族ID
DBViewer_Races_RaceName;種族名
DBViewer_Races_ShortName;略称
# ■Wares
DBViewer_Wares_Title;ウェア
DBViewer_Wares_WareName;名称
DBViewer_Wares_WareGroupName;種別
DBViewer_Wares_TransportTypeName;輸送種別
DBViewer_Wares_MinPrice;最安値
DBViewer_Wares_MaxPrice;最高値
DBViewer_Wares_Profit;利益
DBViewer_Wares_Volume;サイズ
DBViewer_Wares_ProfitPerVolume;利益/サイズ
# ■Modules
DBViewer_Modules_Title;モジュール
DBViewer_Modules_ModuleName;名称
DBViewer_Modules_ModuleType;種別
DBViewer_Modules_OwnerRace;所有種族
DBViewer_Modules_MaxWorkers;労働者数
DBViewer_Modules_WorkersCapacity;収容人数
DBViewer_Modules_Product;製品
DBViewer_Modules_MaxEfficiency;最大効率
# ■Ships
DBViewer_Ships_Title;艦船
DBViewer_Ships_BasicInfo;基礎情報
DBViewer_Ships_BasicInfo_Name;名称
DBViewer_Ships_BasicInfo_Type;種別
DBViewer_Ships_BasicInfo_Size;サイズ
DBViewer_Ships_BasicInfo_Mass;重量
DBViewer_Ships_BasicInfo_People;人員
DBViewer_Ships_Speed;速度
DBViewer_Ships_MaxForwardSpeed;最高
DBViewer_Ships_MaxReverseSpeed;後退
DBViewer_Ships_MaxBoostSpeed;ブースト
DBViewer_Ships_MaxTravelSpeed;トラベル
DBViewer_Ships_MaxAcceleration;加速
DBViewer_Ships_ParallelMoveSpeed;平行移動速度
DBViewer_Ships_VerticalMovementSpeed;垂直
DBViewer_Ships_HorizontalMovementSpeed;水平
DBViewer_Ships_Steering;操舵性能
DBViewer_Ships_Steering_Pitch;ピッチ
DBViewer_Ships_Steering_Yaw;ヨー
DBViewer_Ships_Steering_Roll;ロール
DBViewer_Ships_Steering_Responsiveness;反応性
DBViewer_Ships_Armed;武装(搭載量)
DBViewer_Ships_Armed_Weapons;武器
DBViewer_Ships_Armed_Turrets;タレット
DBViewer_Ships_Armed_Missiles;ミサイル
DBViewer_Ships_Shield;シールド
DBViewer_Ships_Shield_Count;搭載数
DBViewer_Ships_Shield_Capacity;容量
DBViewer_Ships_Cargo;保管庫
DBViewer_Ships_Cargo_Capacity;容量
DBViewer_Ships_Cargo_Type;種別
DBViewer_Ships_Dock;ドック
DBViewer_Ships_Dock_Medium;中型
DBViewer_Ships_Dock_Small;小型
DBViewer_Ships_HangerCapacity;搭載量
DBViewer_Ships_HangerCapacity_Aircraft;機体
DBViewer_Ships_HangerCapacity_Drone;ドローン


# ------------------------------------------------------
# Data Exporter
# ------------------------------------------------------
DataExporter_Title;X4: Foundations データ抽出機
DataExporter_Input;入力
DataExporter_Input_RootDirectory;X4: Foundations インストール先フォルダ
DataExporter_Input_ConfigFolder;設定フォルダパス
DataExporter_Output;出力
DataExporter_Output_Language;言語
DataExporter_Export;抽出
DataExporter_Close;閉じる
DataExporter_ExportCompleted;データ抽出完了
DataExporter_FailedToBackupDb;DB ファイルのバックアップに失敗しました。\r\n他のプロセスが x4.db ファイルを開いていないか確認の上、再度実行下さい。
DataExporter_FailedToExportMessage;データ抽出に失敗しました。申し訳ございません。\r\n以下の内容を開発者にご報告頂けると幸いです。\r\n\r\n1. 選択中の言語\r\n2. クラッシュレポートファイル\r\n3. X4 のバージョン
DataExporter_ExportOption;抽出オプション
DataExporter_ExportAllData;バニラ / DLC / Mod のデータを抽出する
DataExporter_ExportOfficialData;バニラ / DLC のデータを抽出する
DataExporter_ExportVanillaData;バニラのデータを抽出する


# ------------------------------------------------------
# Dependency Resolution Failed Window
# ------------------------------------------------------
DependencyResolutionFailedWindow_Title;依存関係の解決に失敗
DependencyResolutionFailedWindow_Message;Mod の依存関係の解決に失敗しました。\r\nある Mod が要求する Mod がインストールされていない又は無効化されている可能性があります。\r\nX4 が正常に起動する事を確認後に実行下さい。
DependencyResolutionFailedWindow_OptionalModNotFound;任意 Mod が見つからない
DependencyResolutionFailedWindow_RequiredModNotFound;必須 Mod が見つからない
DependencyResolutionFailedWindow_ModName;Mod 名
DependencyResolutionFailedWindow_ID;ID
DependencyResolutionFailedWindow_FolderName;フォルダ名
DependencyResolutionFailedWindow_Remarks;備考
